MSSubClass,LotFrontage,LotArea,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtQual,BsmtFinType1,TotalBsmtSF,HeatingQC,GrLivArea,BsmtFullBath,FullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,MoSold,YrSold,SalePrice,outdoorAreaSF
60,65.0,8450,CollgCr,2Story,7,5,2003,VinylSd,VinylSd,BrkFace,196.0,PConc,Gd,GLQ,856,Ex,1710,1,2,3,Gd,8,0,none,Attchd,RFn,2,548,2,2008,208500,61
20,80.0,9600,Veenker,1Story,6,8,1976,MetalSd,MetalSd,None,0.0,CBlock,Gd,ALQ,1262,Ex,1262,0,2,3,TA,6,1,TA,Attchd,RFn,2,460,5,2007,181500,298
60,68.0,11250,CollgCr,2Story,7,5,2001,VinylSd,VinylSd,BrkFace,162.0,PConc,Gd,GLQ,920,Ex,1786,1,2,3,Gd,6,1,TA,Attchd,RFn,2,608,9,2008,223500,42
70,60.0,9550,Crawfor,2Story,7,5,1915,Wd Sdng,Wd Shng,None,0.0,BrkTil,TA,ALQ,756,Gd,1717,1,1,3,Gd,7,1,Gd,Detchd,Unf,3,642,2,2006,140000,307
60,84.0,14260,NoRidge,2Story,8,5,2000,VinylSd,VinylSd,BrkFace,350.0,PConc,Gd,GLQ,1145,Ex,2198,1,2,4,Gd,9,1,TA,Attchd,RFn,3,836,12,2008,250000,276
50,85.0,14115,Mitchel,1.5Fin,5,5,1993,VinylSd,VinylSd,None,0.0,Wood,Gd,GLQ,796,Ex,1362,1,1,1,TA,5,0,none,Attchd,Unf,2,480,10,2009,143000,70
20,75.0,10084,Somerst,1Story,8,5,2004,VinylSd,VinylSd,Stone,186.0,PConc,Ex,GLQ,1686,Ex,1694,1,2,3,Gd,7,1,Gd,Attchd,RFn,2,636,8,2007,307000,312
60,90.4186046511628,10382,NWAmes,2Story,7,6,1973,HdBoard,HdBoard,Stone,240.0,CBlock,Gd,ALQ,1107,Ex,2090,1,2,3,TA,7,2,TA,Attchd,RFn,2,484,11,2009,200000,667
50,51.0,6120,OldTown,1.5Fin,7,5,1931,BrkFace,Wd Shng,None,0.0,BrkTil,TA,Unf,952,Gd,1774,0,2,2,TA,8,2,TA,Detchd,Unf,2,468,4,2008,129900,295
190,50.0,7420,BrkSide,1.5Unf,5,6,1939,MetalSd,MetalSd,None,0.0,BrkTil,TA,GLQ,991,Ex,1077,1,1,2,TA,5,2,TA,Attchd,RFn,1,205,1,2008,118000,4
20,70.0,11200,Sawyer,1Story,5,5,1965,HdBoard,HdBoard,None,0.0,CBlock,TA,Rec,1040,Ex,1040,1,1,3,TA,5,0,none,Detchd,Unf,1,384,2,2008,129500,0
